keypts1,match_points,filename1,filename2,matchpercent,keypts2
data1\S01_21.png,data1\S01_16.png,500,454,500,0.6607929515418502
data1\S01_21.png,data1\S01_25.png,500,469,500,1.492537313432836
data1\S01_21.png,data1\S01_26.png,500,490,500,1.2244897959183674
data1\S01_21.png,data1\S01_27.png,500,500,500,0.4
data1\S01_21.png,data1\S01_28.png,500,475,500,1.0526315789473684
data1\S01_21.png,data1\S01_29.png,500,494,500,1.0121457489878543
data1\S01_21.png,data1\S01_30.png,500,482,500,1.6597510373443984
data1\S01_21.png,data1\S01_31.png,500,500,500,1.0
data1\S01_21.png,data1\S01_33.png,500,500,500,1.0
data1\S01_21.png,data1\S01_35.png,500,452,500,1.3274336283185841
data1\S01_21.png,data1\S01_36.png,500,500,500,0.4
data1\S01_21.png,data1\S01_37.png,500,500,500,0.6
data1\S01_21.png,data1\S01_39.png,500,361,500,1.3850415512465375
data1\S01_21.png,data1\S03_1.png,500,500,500,0.6
data1\S01_21.png,data1\S03_10.png,500,500,500,0.2
data1\S01_21.png,data1\S03_11.png,500,454,500,0.8810572687224669
data1\S01_21.png,data1\S03_12.png,500,435,500,1.3793103448275863
data1\S01_21.png,data1\S03_15.png,500,465,500,1.075268817204301
data1\S01_21.png,data1\S03_18.png,500,500,500,1.0
data1\S01_21.png,data1\S03_22.png,500,410,500,0.7317073170731707
data1\S01_21.png,data1\S03_28.png,500,335,500,1.791044776119403
data1\S01_21.png,data1\S03_30.png,500,298,500,2.0134228187919465
data1\S01_21.png,data1\S03_36.png,500,298,500,1.0067114093959733
data1\S01_21.png,data1\S03_40.png,500,492,500,0.2032520325203252
data1\S01_21.png,data1\S03_5.png,500,493,500,0.4056795131845842
data1\S01_21.png,data1\S03_6.png,500,500,500,1.0
data1\S01_21.png,data1\S03_7.png,500,458,500,1.5283842794759825
data1\S01_21.png,data1\S14_1.png,500,441,500,1.3605442176870748
data1\S01_21.png,data1\S14_11.png,500,388,500,1.0309278350515463
data1\S01_21.png,data1\S14_19.png,500,483,500,1.2422360248447204
data1\S01_21.png,data1\S14_2.png,500,500,500,0.6
data1\S01_21.png,data1\S14_21.png,500,500,500,0.4
data1\S01_21.png,data1\S14_24.png,500,500,500,1.0
data1\S01_21.png,data1\S14_25.png,500,428,500,0.4672897196261682
data1\S01_21.png,data1\S14_30.png,500,500,500,0.8
data1\S01_21.png,data1\S14_9.png,500,233,500,0.4291845493562232
data1\S01_25.png,data1\S01_0.png,469,224,469,1.7857142857142858
data1\S01_25.png,data1\S01_10.png,469,500,469,0.2
data1\S01_25.png,data1\S01_14.png,469,469,469,1.0660980810234542
data1\S01_25.png,data1\S01_15.png,469,460,469,0.8695652173913043
data1\S01_25.png,data1\S01_16.png,469,454,469,1.1013215859030836
data1\S01_25.png,data1\S01_21.png,469,500,469,0.4
data1\S01_25.png,data1\S01_26.png,469,490,469,0.6122448979591837
data1\S01_25.png,data1\S01_27.png,469,500,469,0.8
data1\S01_25.png,data1\S01_28.png,469,475,469,1.0526315789473684
data1\S01_25.png,data1\S01_29.png,469,494,469,0.20242914979757085
data1\S01_25.png,data1\S01_30.png,469,482,469,1.037344398340249
data1\S01_25.png,data1\S01_31.png,469,500,469,0.6
data1\S01_25.png,data1\S01_33.png,469,500,469,0.8
data1\S01_25.png,data1\S01_35.png,469,452,469,0.4424778761061947
data1\S01_25.png,data1\S01_36.png,469,500,469,1.0
data1\S01_25.png,data1\S01_37.png,469,500,469,1.0
data1\S01_25.png,data1\S01_39.png,469,361,469,0.8310249307479224
data1\S01_25.png,data1\S03_1.png,469,500,469,0.4
data1\S01_25.png,data1\S03_10.png,469,500,469,0.6
data1\S01_25.png,data1\S03_11.png,469,454,469,0.6607929515418502
data1\S01_25.png,data1\S03_12.png,469,435,469,0.22988505747126436
data1\S01_25.png,data1\S03_15.png,469,465,469,0.43010752688172044
data1\S01_25.png,data1\S03_18.png,469,500,469,1.0
data1\S01_25.png,data1\S03_22.png,469,410,469,1.4634146341463414
data1\S01_25.png,data1\S03_28.png,469,335,469,1.1940298507462686
data1\S01_25.png,data1\S03_30.png,469,298,469,2.0134228187919465
data1\S01_25.png,data1\S03_36.png,469,298,469,2.348993288590604
data1\S01_25.png,data1\S03_40.png,469,492,469,0.8130081300813008
data1\S01_25.png,data1\S03_5.png,469,493,469,0.6085192697768763
data1\S01_25.png,data1\S03_6.png,469,500,469,1.4
data1\S01_25.png,data1\S03_7.png,469,458,469,1.3100436681222707
data1\S01_25.png,data1\S14_1.png,469,441,469,0.6802721088435374
data1\S01_25.png,data1\S14_11.png,469,388,469,1.5463917525773196
data1\S01_25.png,data1\S14_19.png,469,483,469,0.4140786749482402
data1\S01_25.png,data1\S14_2.png,469,500,469,0.0
data1\S01_25.png,data1\S14_21.png,469,500,469,0.8
data1\S01_25.png,data1\S14_24.png,469,500,469,1.0
data1\S01_25.png,data1\S14_25.png,469,428,469,1.4018691588785046
data1\S01_25.png,data1\S14_30.png,469,500,469,0.8
data1\S01_25.png,data1\S14_9.png,469,233,469,0.8583690987124464
data1\S01_26.png,data1\S01_0.png,490,224,490,1.7857142857142858
data1\S01_26.png,data1\S01_10.png,490,500,490,0.4
data1\S01_26.png,data1\S01_14.png,490,469,490,0.8528784648187633
data1\S01_26.png,data1\S01_15.png,490,460,490,0.6521739130434783
data1\S01_26.png,data1\S01_16.png,490,454,490,1.1013215859030836
data1\S01_26.png,data1\S01_21.png,490,500,490,0.4
data1\S01_26.png,data1\S01_25.png,490,469,490,1.279317697228145
data1\S01_26.png,data1\S01_27.png,490,500,490,0.6
data1\S01_26.png,data1\S01_28.png,490,475,490,0.8421052631578947
data1\S01_26.png,data1\S01_29.png,490,494,490,0.6072874493927125
data1\S01_26.png,data1\S01_30.png,490,482,490,0.6224066390041494
data1\S01_26.png,data1\S01_31.png,490,500,490,0.4
data1\S01_26.png,data1\S01_33.png,490,500,490,0.8
data1\S01_26.png,data1\S01_35.png,490,452,490,0.22123893805309736
data1\S01_26.png,data1\S01_36.png,490,500,490,0.4
data1\S01_26.png,data1\S01_37.png,490,500,490,0.6
data1\S01_26.png,data1\S01_39.png,490,361,490,0.8310249307479224
data1\S01_26.png,data1\S03_1.png,490,500,490,0.8
data1\S01_26.png,data1\S03_10.png,490,500,490,0.6
data1\S01_26.png,data1\S03_11.png,490,454,490,1.3215859030837005
data1\S01_26.png,data1\S03_12.png,490,435,490,0.45977011494252873
data1\S01_26.png,data1\S03_15.png,490,465,490,0.8602150537634409
data1\S01_26.png,data1\S03_18.png,490,500,490,0.4
data1\S01_26.png,data1\S03_22.png,490,410,490,1.7073170731707317
data1\S01_26.png,data1\S03_28.png,490,335,490,1.492537313432836
data1\S01_26.png,data1\S03_30.png,490,298,490,1.342281879194631
data1\S01_26.png,data1\S03_36.png,490,298,490,0.6711409395973155
data1\S01_26.png,data1\S03_40.png,490,492,490,0.2032520325203252
data1\S01_26.png,data1\S03_5.png,490,493,490,0.2028397565922921
data1\S01_26.png,data1\S03_6.png,490,500,490,0.2
data1\S01_26.png,data1\S03_7.png,490,458,490,1.5283842794759825
data1\S01_26.png,data1\S14_1.png,490,441,490,0.22675736961451248
data1\S01_26.png,data1\S14_11.png,490,388,490,0.25773195876288657
data1\S01_26.png,data1\S14_19.png,490,483,490,1.2422360248447204
data1\S01_26.png,data1\S14_2.png,490,500,490,1.0
data1\S01_26.png,data1\S14_21.png,490,500,490,0.8
data1\S01_26.png,data1\S14_24.png,490,500,490,0.6
data1\S01_26.png,data1\S14_25.png,490,428,490,0.9345794392523364
data1\S01_26.png,data1\S14_30.png,490,500,490,1.4
data1\S01_26.png,data1\S14_9.png,490,233,490,1.7167381974248928
data1\S01_27.png,data1\S01_0.png,500,224,500,4.464285714285714
data1\S01_27.png,data1\S01_10.png,500,500,500,0.8
data1\S01_27.png,data1\S01_14.png,500,469,500,1.9189765458422174
data1\S01_27.png,data1\S01_15.png,500,460,500,1.3043478260869565
data1\S01_27.png,data1\S01_16.png,500,454,500,1.7621145374449338
data1\S01_27.png,data1\S01_21.png,500,500,500,1.0
data1\S01_27.png,data1\S01_25.png,500,469,500,1.9189765458422174
data1\S01_27.png,data1\S01_26.png,500,490,500,1.4285714285714286
data1\S01_27.png,data1\S01_28.png,500,475,500,1.0526315789473684
data1\S01_27.png,data1\S01_29.png,500,494,500,1.0121457489878543
data1\S01_27.png,data1\S01_30.png,500,482,500,1.037344398340249
data1\S01_27.png,data1\S01_31.png,500,500,500,0.8
data1\S01_27.png,data1\S01_33.png,500,500,500,1.0
data1\S01_27.png,data1\S01_35.png,500,452,500,1.5486725663716814
data1\S01_27.png,data1\S01_36.png,500,500,500,1.2
data1\S01_27.png,data1\S01_37.png,500,500,500,0.4
data1\S01_27.png,data1\S01_39.png,500,361,500,0.8310249307479224
data1\S01_27.png,data1\S03_1.png,500,500,500,0.2
data1\S01_27.png,data1\S03_10.png,500,500,500,1.0
data1\S01_27.png,data1\S03_11.png,500,454,500,0.44052863436123346
data1\S01_27.png,data1\S03_12.png,500,435,500,1.1494252873563218
data1\S01_27.png,data1\S03_15.png,500,465,500,1.5053763440860215
data1\S01_27.png,data1\S03_18.png,500,500,500,1.2
data1\S01_27.png,data1\S03_22.png,500,410,500,1.951219512195122
data1\S01_27.png,data1\S03_28.png,500,335,500,1.791044776119403
data1\S01_27.png,data1\S03_30.png,500,298,500,1.6778523489932886
data1\S01_27.png,data1\S03_36.png,500,298,500,0.6711409395973155
data1\S01_27.png,data1\S03_40.png,500,492,500,0.4065040650406504
data1\S01_27.png,data1\S03_5.png,500,493,500,0.4056795131845842
data1\S01_27.png,data1\S03_6.png,500,500,500,1.0
data1\S01_27.png,data1\S03_7.png,500,458,500,2.183406113537118
data1\S01_27.png,data1\S14_1.png,500,441,500,0.9070294784580499
data1\S01_27.png,data1\S14_11.png,500,388,500,2.8350515463917527
data1\S01_27.png,data1\S14_19.png,500,483,500,0.4140786749482402
data1\S01_27.png,data1\S14_2.png,500,500,500,1.0
data1\S01_27.png,data1\S14_21.png,500,500,500,1.6
data1\S01_27.png,data1\S14_24.png,500,500,500,0.6
data1\S01_27.png,data1\S14_25.png,500,428,500,0.9345794392523364
data1\S01_27.png,data1\S14_30.png,500,500,500,0.4
data1\S01_27.png,data1\S14_9.png,500,233,500,1.2875536480686696
data1\S01_28.png,data1\S01_0.png,475,224,475,2.232142857142857
data1\S01_28.png,data1\S01_10.png,475,500,475,1.6
data1\S01_28.png,data1\S01_14.png,475,469,475,1.492537313432836
data1\S01_28.png,data1\S01_15.png,475,460,475,0.6521739130434783
data1\S01_28.png,data1\S01_16.png,475,454,475,1.9823788546255507
data1\S01_28.png,data1\S01_21.png,475,500,475,1.2
data1\S01_28.png,data1\S01_25.png,475,469,475,0.6396588486140725
data1\S01_28.png,data1\S01_26.png,475,490,475,0.8163265306122449
data1\S01_28.png,data1\S01_27.png,475,500,475,0.4
data1\S01_28.png,data1\S01_29.png,475,494,475,0.8097165991902834
data1\S01_28.png,data1\S01_30.png,475,482,475,0.6224066390041494
data1\S01_28.png,data1\S01_31.png,475,500,475,1.4
data1\S01_28.png,data1\S01_33.png,475,500,475,0.6
data1\S01_28.png,data1\S01_35.png,475,452,475,0.8849557522123894
data1\S01_28.png,data1\S01_36.png,475,500,475,1.4
data1\S01_28.png,data1\S01_37.png,475,500,475,0.8
data1\S01_28.png,data1\S01_39.png,475,361,475,1.9390581717451523
data1\S01_28.png,data1\S03_1.png,475,500,475,1.2
data1\S01_28.png,data1\S03_10.png,475,500,475,0.8
data1\S01_28.png,data1\S03_11.png,475,454,475,0.8810572687224669
data1\S01_28.png,data1\S03_12.png,475,435,475,1.1494252873563218
data1\S01_28.png,data1\S03_15.png,475,465,475,0.6451612903225806
data1\S01_28.png,data1\S03_18.png,475,500,475,1.2
data1\S01_28.png,data1\S03_22.png,475,410,475,0.975609756097561
data1\S01_28.png,data1\S03_28.png,475,335,475,1.1940298507462686
data1\S01_28.png,data1\S03_30.png,475,298,475,2.0134228187919465
data1\S01_28.png,data1\S03_36.png,475,298,475,1.342281879194631
data1\S01_28.png,data1\S03_40.png,475,492,475,0.8130081300813008
data1\S01_28.png,data1\S03_5.png,475,493,475,0.6085192697768763
data1\S01_28.png,data1\S03_6.png,475,500,475,1.0
data1\S01_28.png,data1\S03_7.png,475,458,475,1.3100436681222707
data1\S01_28.png,data1\S14_1.png,475,441,475,0.9070294784580499
data1\S01_28.png,data1\S14_11.png,475,388,475,0.25773195876288657
data1\S01_28.png,data1\S14_19.png,475,483,475,0.4140786749482402
data1\S01_28.png,data1\S14_2.png,475,500,475,0.4
data1\S01_28.png,data1\S14_21.png,475,500,475,0.8
data1\S01_28.png,data1\S14_24.png,475,500,475,0.4
data1\S01_28.png,data1\S14_25.png,475,428,475,0.4672897196261682
data1\S01_28.png,data1\S14_30.png,475,500,475,1.2
data1\S01_28.png,data1\S14_9.png,475,233,475,1.7167381974248928
